"               epoch"	"      train/box_loss"	"      train/obj_loss"	"      train/cls_loss"	"   metrics/precision"	"      metrics/recall"	"     metrics/mAP_0.5"	"metrics/mAP_0.5:0.95"	"        val/box_loss"	"        val/obj_loss"	"        val/cls_loss"	"               x/lr0"	"               x/lr1"	"               x/lr2"
"                  26"	"            0.027055"	"            0.021655"	"           0.0012288"	"             0.95697"	"             0.93522"	"             0.97433"	"             0.67301"	"            0.025567"	"            0.016653"	"           0.0018151"	"           0.0098637"	"           0.0098637"	"           0.0098637"
"                  27"	"            0.027209"	"            0.022024"	"           0.0010676"	"             0.94833"	"             0.93568"	"             0.97274"	"             0.66907"	"            0.025576"	"            0.016745"	"           0.0020464"	"           0.0098527"	"           0.0098527"	"           0.0098527"
"                  28"	"            0.027077"	"            0.022324"	"           0.0012233"	"             0.94752"	"             0.93664"	"             0.97443"	"             0.66478"	"             0.02557"	"            0.016718"	"           0.0019181"	"           0.0098412"	"           0.0098412"	"           0.0098412"
"                  29"	"            0.026884"	"            0.021762"	"           0.0012189"	"             0.94364"	"             0.94981"	"             0.97573"	"             0.66488"	"            0.025702"	"            0.016582"	"           0.0018074"	"           0.0098293"	"           0.0098293"	"           0.0098293"
"                  30"	"            0.026826"	"            0.021693"	"           0.0011565"	"             0.94958"	"             0.92184"	"              0.9698"	"             0.66079"	"            0.026309"	"            0.017209"	"           0.0022138"	"            0.009817"	"            0.009817"	"            0.009817"
"                  31"	"            0.026796"	"            0.022068"	"           0.0011389"	"             0.96168"	"             0.92945"	"             0.97496"	"             0.66172"	"            0.025855"	"            0.016785"	"           0.0016885"	"           0.0098042"	"           0.0098042"	"           0.0098042"
"                  32"	"            0.026926"	"            0.021954"	"           0.0011458"	"             0.94255"	"             0.94224"	"             0.97546"	"             0.66778"	"            0.025815"	"            0.016925"	"           0.0018444"	"           0.0097911"	"           0.0097911"	"           0.0097911"
"                  33"	"            0.026661"	"            0.021713"	"           0.0011038"	"             0.94625"	"              0.9306"	"             0.97351"	"             0.66299"	"            0.025827"	"            0.016975"	"           0.0020215"	"           0.0097775"	"           0.0097775"	"           0.0097775"
"                  34"	"            0.026606"	"            0.021851"	"           0.0010238"	"             0.96193"	"             0.92701"	"             0.97173"	"             0.66723"	"            0.025559"	"            0.016763"	"           0.0019377"	"           0.0097635"	"           0.0097635"	"           0.0097635"
"                  35"	"             0.02648"	"            0.021612"	"           0.0010178"	"             0.94978"	"             0.93811"	"             0.97367"	"             0.66732"	"            0.025742"	"            0.016909"	"           0.0020528"	"           0.0097491"	"           0.0097491"	"           0.0097491"
"                  36"	"            0.026525"	"            0.021524"	"           0.0010585"	"             0.95451"	"             0.93408"	"              0.9727"	"             0.67374"	"            0.025469"	"            0.016604"	"           0.0019818"	"           0.0097343"	"           0.0097343"	"           0.0097343"
"                  37"	"            0.026418"	"            0.021639"	"          0.00096193"	"             0.94862"	"             0.94195"	"             0.97442"	"              0.6684"	"            0.025587"	"            0.016871"	"           0.0020605"	"           0.0097191"	"           0.0097191"	"           0.0097191"
"                  38"	"            0.026197"	"            0.021282"	"           0.0009806"	"             0.96777"	"             0.92616"	"             0.97229"	"             0.67582"	"            0.025342"	"            0.016842"	"           0.0019284"	"           0.0097035"	"           0.0097035"	"           0.0097035"
"                  39"	"            0.026187"	"            0.021546"	"           0.0010507"	"             0.94596"	"             0.93779"	"              0.9723"	"             0.66156"	"             0.02597"	"            0.017011"	"           0.0019492"	"           0.0096875"	"           0.0096875"	"           0.0096875"
"                  40"	"            0.026214"	"             0.02125"	"          0.00093328"	"             0.94699"	"             0.94477"	"             0.97429"	"             0.67673"	"            0.025362"	"            0.016562"	"           0.0019904"	"            0.009671"	"            0.009671"	"            0.009671"
"                  41"	"            0.026179"	"            0.021547"	"           0.0009966"	"             0.95168"	"             0.92749"	"             0.97079"	"              0.6736"	"            0.025692"	"             0.01681"	"           0.0019158"	"           0.0096542"	"           0.0096542"	"           0.0096542"
"                  42"	"            0.025914"	"            0.021312"	"          0.00089064"	"             0.95783"	"             0.92718"	"             0.97211"	"             0.66731"	"            0.025853"	"            0.016884"	"            0.001895"	"           0.0096369"	"           0.0096369"	"           0.0096369"
"                  43"	"            0.026106"	"            0.021106"	"          0.00096145"	"             0.96074"	"             0.93114"	"             0.97537"	"             0.67652"	"            0.025524"	"            0.016454"	"           0.0018962"	"           0.0096193"	"           0.0096193"	"           0.0096193"
"                  44"	"            0.025896"	"            0.021297"	"          0.00096375"	"             0.95228"	"             0.93395"	"             0.97374"	"              0.6713"	"            0.025542"	"            0.016838"	"           0.0019039"	"           0.0096013"	"           0.0096013"	"           0.0096013"
"                  45"	"            0.025923"	"            0.020928"	"          0.00090896"	"             0.95354"	"              0.9279"	"             0.97399"	"             0.68028"	"            0.025381"	"             0.01662"	"           0.0019685"	"           0.0095828"	"           0.0095828"	"           0.0095828"
"                  46"	"             0.02573"	"            0.021027"	"           0.0010312"	"             0.96164"	"             0.92833"	"             0.97355"	"             0.67657"	"            0.025485"	"             0.01698"	"           0.0018754"	"            0.009564"	"            0.009564"	"            0.009564"
"                  47"	"            0.025699"	"            0.021145"	"          0.00085507"	"             0.94877"	"             0.93731"	"             0.97348"	"             0.67509"	"            0.025274"	"            0.016753"	"           0.0018229"	"           0.0095448"	"           0.0095448"	"           0.0095448"
"                  48"	"             0.02574"	"            0.021419"	"          0.00092994"	"             0.94968"	"             0.93973"	"             0.97194"	"             0.66955"	"            0.025763"	"            0.017033"	"           0.0019603"	"           0.0095252"	"           0.0095252"	"           0.0095252"
"                  49"	"            0.025784"	"            0.020924"	"          0.00091195"	"             0.95349"	"             0.94322"	"             0.97474"	"             0.67678"	"            0.025374"	"            0.016585"	"           0.0019437"	"           0.0095052"	"           0.0095052"	"           0.0095052"
"                  50"	"            0.025684"	"            0.020912"	"          0.00087846"	"             0.95319"	"             0.93749"	"             0.97448"	"             0.67874"	"            0.025213"	"            0.016529"	"           0.0021169"	"           0.0094849"	"           0.0094849"	"           0.0094849"
"                  51"	"            0.025572"	"            0.020534"	"          0.00087722"	"             0.95726"	"             0.93618"	"             0.97277"	"             0.67932"	"             0.02507"	"            0.016576"	"           0.0019913"	"           0.0094641"	"           0.0094641"	"           0.0094641"
"                  52"	"            0.025469"	"            0.020934"	"           0.0009035"	"             0.95607"	"             0.93525"	"             0.97329"	"             0.67556"	"            0.025447"	"             0.01683"	"            0.001943"	"            0.009443"	"            0.009443"	"            0.009443"
"                  53"	"            0.025437"	"            0.020962"	"          0.00086692"	"             0.95694"	"              0.9265"	"             0.97207"	"             0.67156"	"            0.025498"	"            0.016764"	"           0.0019679"	"           0.0094215"	"           0.0094215"	"           0.0094215"
"                  54"	"            0.025352"	"            0.020853"	"          0.00078547"	"             0.95839"	"             0.92765"	"             0.97171"	"              0.6777"	"            0.025389"	"            0.016921"	"           0.0018827"	"           0.0093996"	"           0.0093996"	"           0.0093996"
"                  55"	"            0.025422"	"            0.020601"	"          0.00088156"	"             0.96435"	"             0.92749"	"             0.97522"	"              0.6769"	"            0.025268"	"            0.016604"	"           0.0022032"	"           0.0093773"	"           0.0093773"	"           0.0093773"
"                  56"	"            0.025147"	"            0.020837"	"          0.00083029"	"             0.95322"	"             0.93197"	"             0.97477"	"               0.683"	"             0.02515"	"            0.016752"	"           0.0018505"	"           0.0093547"	"           0.0093547"	"           0.0093547"
"                  57"	"            0.025213"	"            0.020765"	"          0.00074989"	"             0.96059"	"             0.93724"	"             0.97432"	"             0.68046"	"            0.025073"	"            0.016438"	"           0.0020601"	"           0.0093317"	"           0.0093317"	"           0.0093317"
"                  58"	"            0.024964"	"            0.020553"	"          0.00077434"	"             0.95761"	"             0.93151"	"             0.97409"	"             0.68296"	"             0.02494"	"            0.016647"	"            0.002115"	"           0.0093083"	"           0.0093083"	"           0.0093083"
"                  59"	"            0.025309"	"            0.020527"	"          0.00084002"	"             0.95569"	"             0.93811"	"             0.97305"	"             0.67706"	"            0.025364"	"            0.016701"	"           0.0022588"	"           0.0092846"	"           0.0092846"	"           0.0092846"
